key,CPU
alias,CPU
unit,(%)
begin date,2019/03/03
end date,2019/03/03
count,676
,
min,2.66
max,13.23
avg,5.10
,
14:19:24,13.23
14:19:25,5.20
14:19:26,8.08
14:19:26,10.81
14:19:27,2.94
14:19:28,3.25
14:19:29,7.19
14:19:29,3.62
14:19:30,5.71
14:19:31,6.17
14:19:32,7.98
14:19:33,5.39
14:19:34,7.29
14:19:35,3.11
14:19:36,5.05
14:19:36,5.50
14:19:37,5.07
14:19:38,8.67
14:19:39,4.48
14:19:40,5.61
14:19:41,5.07
14:19:42,5.15
14:19:43,6.17
14:19:44,4.90
14:19:45,3.55
14:19:45,5.36
14:19:46,5.16
14:19:47,7.04
14:19:48,5.50
14:19:49,3.04
14:19:50,5.38
14:19:51,4.93
14:19:52,5.77
14:19:53,5.88
14:19:54,4.81
14:19:54,3.14
14:19:55,4.50
14:19:56,5.21
14:19:57,5.58
14:19:58,5.94
14:19:59,4.28
14:20:00,4.65
14:20:01,5.08
14:20:02,5.37
14:20:03,5.10
14:20:03,4.52
14:20:04,3.08
14:20:05,5.39
14:20:06,4.85
14:20:07,5.56
14:20:08,4.46
14:20:09,4.64
14:20:10,3.65
14:20:11,5.94
14:20:12,5.21
14:20:12,5.69
14:20:13,6.15
14:20:14,3.20
14:20:15,5.09
14:20:16,4.85
14:20:17,5.76
14:20:18,5.48
14:20:19,5.21
14:20:20,3.40
14:20:21,5.38
14:20:22,5.24
14:20:22,5.80
14:20:23,5.26
14:20:24,3.11
14:20:25,5.47
14:20:26,5.50
14:20:27,5.83
14:20:28,9.18
14:20:29,4.62
14:20:30,4.10
14:20:31,3.99
14:20:32,5.14
14:20:33,5.12
14:20:34,4.93
14:20:34,2.94
14:20:35,5.19
14:20:36,4.81
14:20:37,5.18
14:20:38,5.16
14:20:39,6.99
14:20:40,3.70
14:20:41,5.42
14:20:42,5.77
14:20:42,5.58
14:20:43,5.34
14:20:44,3.52
14:20:45,5.43
14:20:46,5.64
14:20:47,4.90
14:20:48,6.06
14:20:49,6.07
14:20:50,3.70
14:20:51,5.64
14:20:51,4.98
14:20:52,5.94
14:20:53,6.50
14:20:54,4.21
14:20:55,6.05
14:20:56,4.90
14:20:57,4.51
14:20:58,5.09
14:20:59,6.81
14:21:00,3.79
14:21:01,4.90
14:21:01,5.83
14:21:02,5.91
14:21:03,5.83
14:21:04,3.33
14:21:05,5.26
14:21:06,5.53
14:21:07,4.18
14:21:08,6.28
14:21:09,5.26
14:21:10,3.41
14:21:11,5.82
14:21:12,4.48
14:21:12,5.88
14:21:13,5.08
14:21:14,3.68
14:21:15,4.48
14:21:16,4.29
14:21:17,5.94
14:21:18,5.21
14:21:19,5.79
14:21:20,3.92
14:21:21,4.88
14:21:21,5.85
14:21:22,5.88
14:21:23,4.91
14:21:24,3.33
14:21:25,5.77
14:21:26,5.00
14:21:27,4.95
14:21:28,5.71
14:21:29,5.42
14:21:30,3.94
14:21:31,5.19
14:21:32,5.07
14:21:32,5.94
14:21:33,6.57
14:21:34,4.04
14:21:35,4.76
14:21:36,5.08
14:21:37,5.36
14:21:38,5.97
14:21:39,5.67
14:21:40,3.26
14:21:41,4.98
14:21:41,5.43
14:21:42,5.31
14:21:43,5.63
14:21:44,4.04
14:21:45,6.28
14:21:46,5.07
14:21:47,5.76
14:21:48,4.91
14:21:49,4.57
14:21:50,3.08
14:21:50,6.19
14:21:51,5.91
14:21:52,5.21
14:21:53,5.31
14:21:54,4.31
14:21:55,3.38
14:21:56,4.52
14:21:57,7.73
14:21:58,5.02
14:21:59,4.44
14:22:00,3.27
14:22:00,4.68
14:22:01,5.82
14:22:02,4.48
14:22:03,5.29
14:22:04,5.45
14:22:05,4.93
14:22:06,5.50
14:22:07,5.21
14:22:08,5.48
14:22:09,4.85
14:22:09,3.94
14:22:10,5.96
14:22:11,5.35
14:22:12,5.44
14:22:13,4.44
14:22:14,3.92
14:22:15,5.10
14:22:16,5.39
14:22:17,4.84
14:22:18,5.50
14:22:19,4.27
14:22:20,3.02
14:22:20,4.81
14:22:21,4.91
14:22:22,5.91
14:22:23,5.74
14:22:24,4.37
14:22:25,5.38
14:22:26,5.34
14:22:27,5.97
14:22:28,5.07
14:22:29,4.65
14:22:30,4.17
14:22:31,6.40
14:22:31,6.67
14:22:32,5.83
14:22:33,5.39
14:22:34,3.43
14:22:35,5.08
14:22:36,4.85
14:22:37,5.50
14:22:38,4.83
14:22:39,4.72
14:22:40,3.21
14:22:40,5.07
14:22:41,6.80
14:22:42,6.09
14:22:43,4.63
14:22:44,3.57
14:22:45,6.15
14:22:46,4.23
14:22:47,4.94
14:22:48,4.72
14:22:49,4.98
14:22:50,4.39
14:22:50,5.31
14:22:51,5.73
14:22:52,5.73
14:22:53,5.83
14:22:54,4.74
14:22:55,4.52
14:22:56,4.83
14:22:57,5.47
14:22:58,5.02
14:22:59,4.29
14:22:59,3.81
14:23:00,4.98
14:23:01,4.98
14:23:02,5.43
14:23:03,5.93
14:23:04,4.74
14:23:05,4.86
14:23:06,5.05
14:23:07,5.21
14:23:08,5.88
14:23:09,5.64
14:23:10,3.38
14:23:10,5.73
14:23:11,4.76
14:23:12,4.93
14:23:13,5.24
14:23:14,3.83
14:23:15,3.88
14:23:16,5.88
14:23:17,5.13
14:23:18,4.62
14:23:19,5.06
14:23:20,3.72
14:23:20,4.93
14:23:21,5.34
14:23:22,6.06
14:23:23,5.02
14:23:24,4.15
14:23:25,5.13
14:23:26,6.00
14:23:27,5.00
14:23:28,5.42
14:23:28,5.13
14:23:29,3.26
14:23:30,5.37
14:23:31,5.57
14:23:32,5.99
14:23:33,4.76
14:23:34,3.21
14:23:35,4.76
14:23:36,5.56
14:23:37,5.50
14:23:38,5.34
14:23:39,5.45
14:23:40,4.27
14:23:41,6.44
14:23:42,5.18
14:23:42,7.31
14:23:43,5.94
14:23:44,3.02
14:23:45,6.10
14:23:46,5.58
14:23:47,5.82
14:23:48,4.52
14:23:49,4.95
14:23:50,3.96
14:23:51,4.39
14:23:51,4.83
14:23:52,5.56
14:23:53,5.85
14:23:54,3.81
14:23:55,5.56
14:23:56,5.58
14:23:57,4.88
14:23:58,5.19
14:23:59,5.29
14:23:59,3.45
14:24:00,5.66
14:24:01,4.81
14:24:02,5.64
14:24:03,4.50
14:24:04,5.47
14:24:05,3.81
14:24:06,5.39
14:24:07,6.25
14:24:08,5.38
14:24:08,7.58
14:24:09,4.74
14:24:10,5.58
14:24:11,5.15
14:24:12,5.31
14:24:13,5.69
14:24:14,4.26
14:24:15,3.67
14:24:16,5.58
14:24:17,4.39
14:24:18,5.07
14:24:19,5.91
14:24:19,3.83
14:24:20,5.34
14:24:21,5.06
14:24:22,4.17
14:24:23,5.56
14:24:24,4.18
14:24:25,4.19
14:24:26,5.17
14:24:27,5.04
14:24:28,5.36
14:24:29,5.58
14:24:29,3.32
14:24:30,7.80
14:24:31,4.76
14:24:32,5.88
14:24:33,5.34
14:24:34,4.59
14:24:35,4.39
14:24:36,5.13
14:24:37,5.64
14:24:37,4.93
14:24:38,5.04
14:24:39,3.98
14:24:40,5.09
14:24:41,4.95
14:24:42,5.11
14:24:43,4.71
14:24:44,5.26
14:24:45,3.27
14:24:46,5.73
14:24:46,5.63
14:24:47,5.43
14:24:48,5.37
14:24:49,4.09
14:24:50,5.24
14:24:51,5.88
14:24:52,5.42
14:24:53,5.37
14:24:54,5.56
14:24:54,3.72
14:24:55,5.53
14:24:56,5.70
14:24:57,4.69
14:24:58,5.00
14:24:59,5.76
14:25:00,4.71
14:25:01,4.62
14:25:01,5.76
14:25:02,5.39
14:25:03,6.44
14:25:04,4.04
14:25:05,5.38
14:25:06,5.34
14:25:07,4.59
14:25:08,5.04
14:25:09,5.83
14:25:09,3.65
14:25:10,5.61
14:25:11,4.88
14:25:12,5.14
14:25:13,5.88
14:25:14,5.29
14:25:15,3.21
14:25:16,4.88
14:25:17,6.17
14:25:17,5.43
14:25:18,5.07
14:25:19,3.45
14:25:20,4.89
14:25:21,5.21
14:25:22,5.17
14:25:23,5.53
14:25:24,5.31
14:25:25,4.00
14:25:26,4.57
14:25:27,4.55
14:25:27,5.45
14:25:28,5.15
14:25:29,3.54
14:25:30,6.78
14:25:31,6.40
14:25:32,5.12
14:25:33,5.41
14:25:34,5.37
14:25:35,3.57
14:25:35,4.95
14:25:36,8.47
14:25:37,6.00
14:25:38,4.83
14:25:39,4.37
14:25:40,4.85
14:25:41,6.35
14:25:42,4.78
14:25:43,4.69
14:25:44,5.34
14:25:44,3.35
14:25:45,5.38
14:25:46,5.67
14:25:47,4.69
14:25:48,5.61
14:25:49,4.31
14:25:50,3.90
14:25:51,5.63
14:25:52,5.47
14:25:53,4.98
14:25:54,6.86
14:25:54,3.57
14:25:55,4.93
14:25:56,6.81
14:25:57,5.26
14:25:58,5.09
14:25:59,5.08
14:26:00,3.66
14:26:01,5.04
14:26:01,5.56
14:26:02,5.05
14:26:03,5.94
14:26:04,4.06
14:26:05,4.58
14:26:06,5.67
14:26:07,5.64
14:26:08,5.43
14:26:09,5.48
14:26:10,3.54
14:26:10,6.04
14:26:11,5.45
14:26:12,5.17
14:26:13,4.35
14:26:14,4.93
14:26:15,4.21
14:26:16,5.26
14:26:17,5.50
14:26:18,5.53
14:26:19,5.14
14:26:19,4.19
14:26:20,5.61
14:26:21,5.17
14:26:22,5.76
14:26:23,5.10
14:26:24,5.45
14:26:25,2.96
14:26:26,5.46
14:26:26,4.51
14:26:27,4.85
14:26:28,6.31
14:26:29,3.59
14:26:30,4.76
14:26:31,4.98
14:26:32,5.73
14:26:33,4.88
14:26:34,5.48
14:26:34,3.16
14:26:35,4.37
14:26:36,5.21
14:26:37,5.04
14:26:38,5.08
14:26:39,5.50
14:26:40,3.38
14:26:41,4.94
14:26:42,5.00
14:26:43,5.63
14:26:43,4.85
14:26:44,2.79
14:26:45,4.47
14:26:46,5.26
14:26:47,5.34
14:26:48,4.88
14:26:49,5.93
14:26:50,3.47
14:26:51,6.07
14:26:51,5.37
14:26:52,5.30
14:26:53,5.16
14:26:54,4.10
14:26:55,5.35
14:26:56,4.95
14:26:57,5.67
14:26:58,5.58
14:26:59,4.93
14:27:00,3.35
14:27:01,5.15
14:27:02,5.88
14:27:02,5.53
14:27:03,5.29
14:27:04,3.06
14:27:05,4.69
14:27:06,5.03
14:27:07,4.72
14:27:08,5.26
14:27:09,5.58
14:27:10,3.03
14:27:11,5.16
14:27:11,5.29
14:27:12,6.31
14:27:13,5.21
14:27:14,5.46
14:27:15,5.24
14:27:16,5.29
14:27:17,4.98
14:27:17,5.41
14:27:18,5.79
14:27:19,3.11
14:27:20,5.70
14:27:21,5.64
14:27:22,5.07
14:27:23,5.41
14:27:24,5.32
14:27:24,3.21
14:27:25,5.43
14:27:26,8.11
14:27:27,5.21
14:27:28,5.77
14:27:29,5.11
14:27:29,3.43
14:27:30,4.89
14:27:31,6.47
14:27:32,5.73
14:27:33,4.71
14:27:33,5.66
14:27:34,4.52
14:27:35,5.85
14:27:36,5.20
14:27:37,7.18
14:27:38,5.64
14:27:38,5.49
14:27:39,3.89
14:27:40,4.69
14:27:41,6.21
14:27:42,5.95
14:27:43,6.09
14:27:43,5.88
14:27:44,3.55
14:27:45,4.37
14:27:46,5.46
14:27:47,6.90
14:27:48,5.31
14:27:48,4.79
14:27:49,3.55
14:27:50,4.44
14:27:51,6.83
14:27:52,5.32
14:27:53,5.77
14:27:53,5.21
14:27:54,3.85
14:27:55,5.46
14:27:56,5.08
14:27:57,4.64
14:27:58,5.10
14:27:58,5.41
14:27:59,3.93
14:28:00,5.08
14:28:01,4.57
14:28:02,5.85
14:28:03,5.91
14:28:03,4.81
14:28:04,4.28
14:28:05,5.17
14:28:06,5.21
14:28:07,4.81
14:28:08,4.85
14:28:09,4.37
14:28:09,5.05
14:28:10,5.73
14:28:11,5.08
14:28:12,5.88
14:28:13,5.21
14:28:14,6.59
14:28:15,4.07
14:28:15,5.63
14:28:16,5.78
14:28:17,5.95
14:28:18,5.37
14:28:19,5.42
14:28:20,3.05
14:28:20,5.26
14:28:21,4.71
14:28:22,5.38
14:28:23,4.86
14:28:24,4.79
14:28:25,4.06
14:28:25,5.47
14:28:26,5.66
14:28:27,5.43
14:28:28,5.76
14:28:29,5.76
14:28:30,4.55
14:28:31,5.71
14:28:31,6.81
14:28:32,5.32
14:28:33,4.56
14:28:34,4.26
14:28:35,3.52
14:28:36,3.88
14:28:37,4.97
14:28:37,6.45
14:28:38,4.90
14:28:39,5.29
